country,temperature_celsius_mean,temperature_celsius_min,temperature_celsius_max,humidity_mean,humidity_min,humidity_max,precipitation_mm_sum,precipitation_mm_mean,wind_mph_mean,wind_mph_max,air_quality_index_mean,air_quality_index_min,air_quality_index_max
Suriname,24.64426877470356,20.1,32.0,92.12845849802372,65,100,0,0.0,5.693280632411067,12.8,0.0,0,0
Swaziland,22.24189723320158,9.7,37.2,52.28656126482213,4,100,0,0.0,6.074110671936759,20.6,0.0,0,0
Sweden,12.637475345167653,-7.0,28.2,68.38067061143984,18,100,0,0.0,9.296449704142011,22.8,0.0,0,0
Switzerland,14.069333333333333,-6.8,32.6,72.54095238095238,36,100,0,0.0,4.4824761904761905,18.6,0.0,0,0
Syria,25.617588932806324,2.1,42.3,31.120553359683793,5,84,0,0.0,9.267588932806323,29.8,0.0,0,0
Südkorea,26.1,26.1,26.1,84.0,84,84,0,0.0,2.5,2.5,0.0,0,0
Tajikistan,25.229980276134125,-5.2,43.2,33.15187376725838,9,100,0,0.0,4.993688362919133,19.2,0.0,0,0
Tanzania,26.2505905511811,19.0,33.3,46.70472440944882,14,94,0,0.0,7.669291338582677,18.6,0.0,0,0
Thailand,30.85123395853899,22.3,39.3,62.84995064165844,16,100,0,0.0,6.044027640671274,17.4,0.0,0,0
Timor-Leste,26.073517786561265,21.7,28.9,75.58102766798419,47,90,0,0.0,5.629841897233201,17.0,0.0,0,0
Togo,27.9,27.9,27.9,74.0,74,74,0,0.0,11.9,11.9,0.0,0,0
Tonga,23.149704142011835,16.1,27.8,87.88954635108482,56,100,0,0.0,14.268639053254438,38.3,0.0,0,0
Trinidad and Tobago,25.650395256916998,21.1,32.0,88.82608695652173,26,100,0,0.0,6.912450592885375,18.6,0.0,0,0
Tunisia,24.815247524752476,11.1,40.6,56.83168316831683,19,100,0,0.0,9.283168316831683,26.2,0.0,0,0
Turkey,20.64610069101678,-3.0,40.3,49.20927936821323,10,100,0,0.0,9.587068114511354,31.1,0.0,0,0
Turkmenistan,25.675739644970413,0.1,42.5,34.20315581854043,6,100,0,0.0,8.356410256410257,32.2,0.0,0,0
Turkménistan,37.8,37.8,37.8,11.0,11,11,0,0.0,13.6,13.6,0.0,0,0
Tuvalu,28.671062992125982,25.1,30.4,82.28740157480316,40,100,0,0.0,11.722834645669291,26.4,0.0,0,0
USA United States of America,24.53333333333333,18.2,28.2,66.0,43,82,0,0.0,8.066666666666668,16.8,0.0,0,0
Uganda,26.04043392504931,18.1,32.8,61.03353057199211,25,100,0,0.0,6.496252465483234,20.6,0.0,0,0
Ukraine,16.217716535433073,-5.5,37.2,52.031496062992126,11,99,0,0.0,9.077165354330708,21.7,0.0,0,0
United Arab Emirates,34.40984251968504,20.4,46.4,41.42716535433071,7,78,0,0.0,10.37755905511811,26.8,0.0,0,0
United Kingdom,14.072332015810277,-1.9,32.8,74.06324110671937,31,100,0,0.0,8.831620553359684,26.4,0.0,0,0
United States of America,9.336653386454183,-2.8,26.1,89.09561752988049,31,100,0,0.0,5.397410358565737,23.0,0.0,0,0
Uruguay,13.395463510848126,0.3,27.2,87.26824457593689,54,100,0,0.0,9.618343195266272,24.2,0.0,0,0
Uzbekistan,24.895472440944882,-3.6,42.3,30.37795275590551,7,94,0,0.0,6.600393700787402,19.7,0.0,0,0
Vanuatu,24.09526627218935,17.1,28.4,88.74161735700197,57,100,0,0.0,10.059960552268244,28.2,0.0,0,0
Vatican City,21.8255905511811,5.0,37.7,60.14763779527559,18,100,0,0.0,6.905118110236221,27.5,0.0,0,0
Venezuela,23.3590099009901,15.2,31.0,82.25742574257426,50,100,0,0.0,3.47009900990099,11.9,0.0,0,0
Vietnam,27.284548422198043,11.6,40.0,69.75625680087052,11,100,0,0.0,5.563329706202394,34.9,0.0,0,0
Yemen,23.88757396449704,16.2,29.4,23.025641025641026,5,82,0,0.0,8.660157790927022,21.9,0.0,0,0
Zambia,25.214370078740156,14.0,37.4,39.43503937007874,7,97,0,0.0,8.400984251968504,15.9,0.0,0,0
Zimbabwe,23.973320158102766,10.2,34.8,34.794466403162055,5,94,0,0.0,6.892885375494071,16.1,0.0,0,0
Гватемала,15.9,15.9,15.9,95.0,95,95,0,0.0,4.0,4.0,0.0,0,0
Польша,24.2,24.2,24.2,56.0,56,56,0,0.0,8.5,8.5,0.0,0,0
Турция,34.0,34.0,34.0,44.0,44,44,0,0.0,15.0,15.0,0.0,0,0
كولومبيا,23.1,23.1,23.1,95.0,95,95,0,0.0,4.0,4.0,0.0,0,0
火鸡,29.7,29.7,29.7,24.0,24,24,0,0.0,11.4,11.4,0.0,0,0
