country,location_name,year,latitude,longitude,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
Oman,Muscat,2025,23.6133,58.5933,32.532713754646835,17.708921933085502,127.40892193308551,1006.4163568773234,0.00026022304832713756,51.858736059479554,10.914498141263941,35.74014869888476,9.434944237918216,8.885873605947957,22.260223048327138,326.62472118959107,77.61710037174721,26.19778810408922,30.445910780669145,46.365539033457246,144.91483271375463,2.6951672862453533,5.219330855018588,50.847583643122675
Pakistan,Islamabad,2024,33.7,73.16869736842105,30.546491228070177,9.303947368421053,225.3201754385965,1004.7850877192982,0.031228070175438598,31.79824561403509,16.964912280701753,31.399561403508773,9.947368421052632,5.942543859649123,12.189912280701755,1880.3122807017544,98.62587719298246,65.86006578947368,18.10537280701754,57.416600877192984,74.64155701754386,2.9780701754385963,6.258771929824562,48.46052631578947
Pakistan,Islamabad,2025,33.7,73.1667,29.67806691449814,10.834200743494424,197.9368029739777,1006.542750929368,0.1828996282527881,34.74349442379182,32.22304832713755,30.840520446096654,9.862453531598513,5.652416356877324,13.229368029739776,1266.6172862453532,96.7100371747212,51.40317843866171,20.371319702602232,60.55483271375465,95.81486988847584,3.12639405204461,6.713754646840148,50.84386617100372
Palau,Adkip,2024,7.360000000000001,134.51,26.505000000000003,6.279999999999999,104.3,1011.4,0.176,89.65,71.75,29.27,20.485,1.0,17.21,197.53,14.084999999999999,0.24500000000000002,0.165,0.52,0.8699999999999999,1.0,1.0,33.25
Palau,Airai,2024,7.358381294964029,134.55857553956835,27.969064748201436,15.764028776978416,134.33093525179856,1008.3884892086331,0.380431654676259,83.56115107913669,79.83453237410072,31.857553956834533,19.760431654676257,0.625179856115108,24.510071942446043,197.09306474820144,33.68201438848921,0.7117913669064748,1.007388489208633,7.1313956834532375,12.112604316546763,1.129496402877698,1.20863309352518,48.79136690647482
Palau,Airai,2025,7.3575,134.5578,28.119396551724137,19.362068965517242,118.85775862068965,1008.7327586206897,0.4379310344827586,82.6896551724138,83.92672413793103,32.31206896551724,19.945258620689657,0.893103448275862,27.252155172413794,191.28362068965518,42.14655172413793,1.0135129310344828,0.5932758620689655,7.1065517241379315,10.791400862068965,1.0689655172413792,1.1594827586206897,52.62931034482759
Palau,Koror,2024,7.33,134.48,27.373584905660376,9.88679245283019,165.35849056603774,1010.3207547169811,0.6043396226415094,81.52830188679245,75.52830188679245,30.78679245283019,14.643396226415096,1.0,20.764150943396228,205.56603773584905,18.420754716981133,0.17169811320754716,0.11320754716981132,0.5924528301886792,1.149056603773585,1.0,1.0,44.0377358490566
Palau,Koror,2025,7.3333,134.4833,28.875675675675677,15.605405405405405,190.21621621621622,1008.2432432432432,0.707027027027027,78.54054054054055,89.86486486486487,33.88918918918919,18.70810810810811,2.618918918918919,22.17297297297297,165.05,35.32432432432432,1.0850000000000002,0.5650000000000001,4.42,6.455,1.0,1.027027027027027,39.567567567567565
Palau,Meyungs,2024,7.35,134.45,27.0,8.924999999999999,42.5,1010.25,0.25125000000000003,89.4375,78.125,30.5,21.3375,1.0,23.6125,179.625,23.2625,0.1375,0.10625000000000001,0.99375,2.74375,1.0,1.0,80.625
Panama,Panama City,2024,8.968720704845815,-79.53127929515418,25.83832599118943,7.01057268722467,239.4229074889868,1010.1101321585903,0.2741409691629956,91.39647577092511,61.00440528634361,29.44625550660793,8.998678414096917,3.3700440528634363,12.247577092511012,580.979295154185,32.20969162995595,9.38601321585903,8.021321585903083,7.606409691629956,9.78204845814978,1.1101321585903083,1.198237885462555,48.71806167400881
Panama,Panama City,2025,8.9667,-79.5333,25.382771535580524,7.567790262172284,299.3707865168539,1009.9138576779026,0.1641198501872659,90.14232209737828,63.13857677902622,28.7438202247191,8.670411985018726,0.017228464419475654,12.7187265917603,708.2451310861424,60.51310861423221,10.202022471910112,4.518988764044944,10.077303370786517,13.068483146067415,1.1835205992509363,1.3707865168539326,50.89513108614232
Papua New Guinea,Port Moresby,2024,-9.461855263157895,147.19098684210525,25.90921052631579,15.882456140350879,140.32894736842104,1009.8157894736842,0.17149122807017544,85.34210526315789,56.85526315789474,29.396929824561404,9.942982456140351,0.6469298245614035,25.37061403508772,234.97609649122808,40.06885964912281,3.0725219298245614,2.6368640350877195,7.732916666666667,12.932675438596492,1.087719298245614,1.2017543859649122,48.76315789473684
Papua New Guinea,Port Moresby,2025,-9.4647,147.1925,27.05724907063197,14.432342007434945,163.5539033457249,1008.3457249070632,0.6360223048327137,84.35687732342008,61.078066914498145,31.40074349442379,9.825278810408921,0.020074349442379184,22.8,241.1189591078067,46.36431226765799,2.299089219330855,0.4979182156133829,9.661951672862454,11.530520446096654,1.0855018587360594,1.2230483271375465,50.806691449814124
Paraguay,Aguaray,2025,-19.85,-58.5167,22.62608695652174,7.360869565217392,127.30434782608695,1011.695652173913,0.0,46.69565217391305,17.73913043478261,22.921739130434784,9.565217391304348,0.0,14.01304347826087,343.5972608695652,84.56521739130434,2.086913043478261,0.7660434782608696,17.752608695652174,18.05182608695652,1.5217391304347827,2.0869565217391304,40.47826086956522
Paraguay,Asuncion,2024,-25.27,-57.67,13.7,10.8,168.0,1020.0,0.0,77.0,100.0,12.9,10.0,4.0,14.2,380.5,30.0,5.4,0.9,3.4,11.2,1.0,1.0,89.0
Paraguay,Aurora,2024,-23.431546875,-61.331546874999994,20.527083333333334,10.760416666666666,118.078125,1012.453125,0.13593750000000002,58.901041666666664,27.416666666666668,20.830208333333335,9.635416666666666,3.110416666666667,16.617708333333333,456.01251562500005,50.39739583333333,0.7476927083333332,0.41485937500000003,22.400536458333335,29.158119791666667,1.5677083333333333,2.5,47.270833333333336
Paraguay,Aurora,2025,-23.433300000000003,-61.3333,19.049783549783548,8.623376623376624,118.61904761904762,1012.6450216450216,0.05922077922077922,72.68831168831169,38.63203463203463,19.411688311688312,9.047619047619047,0.030735930735930738,15.822077922077922,234.28242424242424,48.34632034632035,1.591748917748918,0.3872813852813853,7.467683982683983,7.661670995670995,1.0822510822510822,1.1428571428571428,52.64502164502164
